search_record_id,search_run_id,query_id,query_family,source_database,source_record_id,rank_in_response,title,abstract,publication_year,doi_raw,doi_normalized,stable_url,oa_url,document_type,authors,venue_or_issuer,language,region_or_jurisdiction,repository_path,source_sha256,raw_response_path
R000001,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0001,1,Data_centers_6G_中文逐句翻译与通俗解读,,,,,,,docx,,,zh,,Data_centers_6G_中文逐句翻译与通俗解读.docx,7c96968ef5d9d4ab57fd9a5e9176340126ecd7cc0fd349b7f04fe42703411929,
R000002,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0002,2,Atomistic origins of anharmonic lattice dynamics and thermal expansion in perovskite photovoltaics,,,,,,,pdf,,,en,,nature energy综述例子集合/Atomistic origins of anharmonic lattice dynamics and thermal expansion in perovskite photovoltaics.pdf,e33a810b216b487cb1965f55fe8acb0713d834aa897e47c75a2412e6d9c6688c,
R000003,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0003,3,Challenges and trends in automotive battery recycling,,,,,,,pdf,,,en,,nature energy综述例子集合/Challenges and trends in automotive battery recycling.pdf,9b7b0d3b376982857130ea11b6c3da61a53a39bbffce9edbabe744d25988e872,
R000004,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0004,4,"Challenges, technological pathways and trade-offs of perovskite solar modules for long-term operation",,,,,,,pdf,,,en,,"nature energy综述例子集合/Challenges, technological pathways and trade-offs of perovskite solar modules for long-term operation.pdf",06d27019f10322b853326c6474dc011bfe2de9999b57fdc0fb45e21c099188d1,
R000005,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0005,5,Emerging opportunities for high-temperature solid-state and gas-cycle heat pumps,,,,,,,pdf,,,en,,nature energy综述例子集合/Emerging opportunities for high-temperature solid-state and gas-cycle heat pumps.pdf,e168f7d11883980eb903c5adde2cddd10835389e71ca80cff65c27f47acb9e4b,
R000006,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0006,6,Emerging roles of cations in electrocatalytic reduction of CO₂ and CO,,,,,,,pdf,,,en,,nature energy综述例子集合/Emerging roles of cations in electrocatalytic reduction of CO₂ and CO.pdf,665b9f5116f0a985424b6142d44769b193b21b09e6d66991121a5a933b63a816,
R000007,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0007,7,Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry,,,,,,,pdf,,,en,,nature energy综述例子集合/Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry.pdf,d8b2428d1feed6f65b72d4d6d67d8734424c517c8078aab4e0484e855f00cddf,
R000008,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0008,8,Mitigating lead toxicity towards safer commercialization of perovskite solar cells,,,,,,,pdf,,,en,,nature energy综述例子集合/Mitigating lead toxicity towards safer commercialization of perovskite solar cells.pdf,47b7f076c2feda758ecd8b965435cf979234b030f542e1b568b0d4c1be45f167,
R000009,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0009,9,Present status of and future opportunities for all-perovskite tandem photovoltaics,,,,,,,pdf,,,en,,nature energy综述例子集合/Present status of and future opportunities for all-perovskite tandem photovoltaics.pdf,8ca5385095c6090940c6340b38981850addaf2517f24e84c7a6a1df6e79c99b3,
R000010,RUN_20260831_EVIDENCE_MAP_01,QREPO_SEEDS,repository_seeds,repository,SRC0010,10,Spin-related and non-spin-related effects of magnetic fields on water oxidation,,,,,,,pdf,,,en,,nature energy综述例子集合/Spin-related and non-spin-related effects of magnetic fields on water oxidation.pdf,3eab38b6e43e8144387bfd1da243980fd3ec3f41f04e11e72d082954b497f654,
