source_file_id,repository_path,extraction_method,extraction_status,characters_extracted,detected_dois,notes
SRC0001,Data_centers_6G_中文逐句翻译与通俗解读.docx,python_docx_paragraph_text,success,8036,,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0002,nature energy综述例子集合/Atomistic origins of anharmonic lattice dynamics and thermal expansion in perovskite photovoltaics.pdf,pypdf_page_text,success,88006,10.1002/9781118771327.ch6|10.1021/acs|10.1038/s41560-025-01938-y|10.1155/2011/136127,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0003,nature energy综述例子集合/Challenges and trends in automotive battery recycling.pdf,pypdf_page_text,success,79878,10.1038/s41560-026-02092-9|10.2172/1530874,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0004,"nature energy综述例子集合/Challenges, technological pathways and trade-offs of perovskite solar modules for long-term operation.pdf",pypdf_page_text,success,80656,10.1002/adfm.202523417|10.1038/s41560-026-01969-z|10.1117/12.861226|10.21203/rs.3.rs-4014242/v1,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0005,nature energy综述例子集合/Emerging opportunities for high-temperature solid-state and gas-cycle heat pumps.pdf,pypdf_page_text,success,77612,10.1038/s41560-025-01908-4,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0006,nature energy综述例子集合/Emerging roles of cations in electrocatalytic reduction of CO₂ and CO.pdf,pypdf_page_text,success,83384,10.1038/s41557-025-02010-8|10.1038/s41560-026-01973-3,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0007,nature energy综述例子集合/Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry.pdf,pypdf_page_text,success,99091,10.1038/s41560-025-01900-y|10.13039/501100011033),Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0008,nature energy综述例子集合/Mitigating lead toxicity towards safer commercialization of perovskite solar cells.pdf,pypdf_page_text,success,81314,10.1038/s41560-026-02037-2,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0009,nature energy综述例子集合/Present status of and future opportunities for all-perovskite tandem photovoltaics.pdf,pypdf_page_text,success,102846,10.1038/s41560-025-01782-0,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0010,nature energy综述例子集合/Spin-related and non-spin-related effects of magnetic fields on water oxidation.pdf,pypdf_page_text,success,81854,10.1038/s41560-025-01744-6,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0011,nature energy综述例子集合/Stabilizing lithium-metal electrodes with polymer coatings.pdf,pypdf_page_text,success,72710,10.1038/s41560-025-01767-z,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0012,nature energy综述例子集合/Upscaling high-areal-capacity battery electrodes.pdf,pypdf_page_text,success,80395,10.1038/s41560-025-01720-0,Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0013,周跃宽本人论文/2024 An electricity-driven mobility circular economy with lifecycle carbon footprints for climate-adaptive carbon neutrality transformation.pdf,pypdf_page_text,success,68692,10.1002/aenm|10.1038/s41467-024-49868-9|10.2172/1171780(2015),Only DOI strings and extraction diagnostics are retained; source text is not committed.
SRC0014,周跃宽本人论文/2025 An Integrative lifecycle design approach based on carbon intensity for renewable-battery-consumer energy systems.pdf,pypdf_page_text,success,60632,10.1038/s44172-024-00339-5,Only DOI strings and extraction diagnostics are retained; source text is not committed.
