asset_class,service_family,study_count,paper_count,scenario_count,highest_evidence_setting,interpretation
DC,frequency_response_regulation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
DC,demand_response_peak_management,1,1,1,E4,Evidence identified within included corpus
DC,renewable_energy_integration,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
DC,local_energy_sharing_distribution_support,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
DC,resilience_emergency_operation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
DC,other,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BS,frequency_response_regulation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BS,demand_response_peak_management,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BS,renewable_energy_integration,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BS,local_energy_sharing_distribution_support,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BS,resilience_emergency_operation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BS,other,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
EV,frequency_response_regulation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
EV,demand_response_peak_management,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
EV,renewable_energy_integration,1,1,1,E1,Evidence identified within included corpus
EV,local_energy_sharing_distribution_support,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
EV,resilience_emergency_operation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
EV,other,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BLDG,frequency_response_regulation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BLDG,demand_response_peak_management,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BLDG,renewable_energy_integration,1,1,1,E1,Evidence identified within included corpus
BLDG,local_energy_sharing_distribution_support,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BLDG,resilience_emergency_operation,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
BLDG,other,0,0,0,,No eligible evidence identified in this corpus; not technical impossibility
