schema_version,codebook_version,safeguard_id,scenario_id,study_id,paper_id,asset_class,constraint_type,constraint_name_raw,treatment_status,threshold_status,threshold_value,threshold_unit,violation_reported,constraint_satisfied,result_status,source_locator,evidence_note,coding_confidence,extractor_id,extraction_date,verification_status,verifier_id,verification_date,notes
1.0,1.0,SG0001,SC0001,ST0001,P0001,DC,compute_sla,flexible SLA tiers,hard_constraint,source_reported,,,no,yes,source_reported,PDF pp.2-3 and 6-7|journal pp.255-256 and 259-260|Tables 1-2,All policies solved for power reduction subject to job SLAs; 33 experiments reported zero SLA violations.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0002,SC0001,ST0001,P0001,DC,deadline,job deadline,not_reported,not_reported,,,unknown,unknown,not_reported,PDF pp.1-7|journal pp.254-260,"Throughput/SLA envelopes were reported, but a separate deadline result was not identified.",high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0003,SC0001,ST0001,P0001,DC,availability,facility availability,not_reported,not_reported,,,unknown,unknown,not_reported,PDF pp.1-7|journal pp.254-260,No separate facility-availability threshold/result was identified.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0004,SC0001,ST0001,P0001,DC,thermal_safety,thermal safety,not_reported,not_reported,,,unknown,unknown,not_reported,PDF pp.1-7|journal pp.254-260,A separate thermal-safety constraint/result was not identified for the GPU-cluster trial.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0005,SC0002,ST0002,P0002,EV,mobility,daily transportation demand,scenario_assumption,unclear,,,unknown,unknown,unclear,PDF pp.1-3 and 12|journal pp.1-3 and 12,"Vehicle use is modelled, but a distinct mobility-service violation result was not reported for Scenario C.",medium,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0006,SC0002,ST0002,P0002,EV,departure_soc,departure SOC,not_reported,not_reported,,,unknown,unknown,not_reported,PDF pp.1-14|journal pp.1-14,No explicit departure-SOC threshold/result was identified.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0007,SC0002,ST0002,P0002,EV,user_opt_out,user opt-out,not_considered,not_applicable,,,unknown,unknown,not_applicable,PDF pp.1-14|journal pp.1-14,User opt-out was not part of the modelled scenario.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0008,SC0002,ST0002,P0002,EV,battery_degradation,battery cycling ageing cost,soft_penalty,source_reported,,,unknown,unknown,source_reported,PDF p.6|journal p.6|Fig. 5,Battery degradation cost is included in the economic comparison but not enforced as a service threshold.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0009,SC0002,ST0002,P0002,BLDG,comfort,occupant comfort,not_considered,not_reported,,,unknown,unknown,not_reported,PDF pp.1-14|journal pp.1-14,No explicit comfort constraint/result was identified for Scenario C.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0010,SC0002,ST0002,P0002,BLDG,indoor_air_quality,IAQ,not_considered,not_reported,,,unknown,unknown,not_reported,PDF pp.1-14|journal pp.1-14,No IAQ constraint/result was identified.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0011,SC0002,ST0002,P0002,BLDG,safety,building safety,not_reported,not_reported,,,unknown,unknown,not_reported,PDF pp.1-14|journal pp.1-14,No separate building-safety constraint/result was identified.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
1.0,1.0,SG0012,SC0002,ST0002,P0002,BLDG,critical_load,critical load,not_applicable,not_applicable,,,unknown,unknown,not_applicable,PDF pp.1-14|journal pp.1-14,Scenario C addresses energy sharing/renewable integration rather than critical-load resilience.,high,codex,2026-08-31,verified_against_fulltext_by_codex,codex,2026-08-31,
