schema_version,codebook_version,search_record_id,paper_id_candidate,source_database,source_record_id,query_ids,title,publication_year,doi_raw,doi_normalized,stable_url,document_type,corpus_layer,fulltext_access_status,title_abstract_decision,fulltext_decision,exclusion_code,exclusion_note,screen_confidence,screened_by,screened_at_utc
1.0,1.0,R000001,,repository,SRC0001,QREPO_SEEDS,Data_centers_6G_中文逐句翻译与通俗解读,,,,,docx,repository_seed,repository_fulltext_available,exclude,exclude,X11_non_original_or_unverifiable_claim,Idea/translation reading aid is not an original performance source.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000002,,repository,SRC0002,QREPO_SEEDS,Atomistic origins of anharmonic lattice dynamics and thermal expansion in perovskite photovoltaics,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000003,,repository,SRC0003,QREPO_SEEDS,Challenges and trends in automotive battery recycling,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000004,,repository,SRC0004,QREPO_SEEDS,"Challenges, technological pathways and trade-offs of perovskite solar modules for long-term operation",,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000005,,repository,SRC0005,QREPO_SEEDS,Emerging opportunities for high-temperature solid-state and gas-cycle heat pumps,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000006,,repository,SRC0006,QREPO_SEEDS,Emerging roles of cations in electrocatalytic reduction of CO₂ and CO,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000007,,repository,SRC0007,QREPO_SEEDS,Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000008,,repository,SRC0008,QREPO_SEEDS,Mitigating lead toxicity towards safer commercialization of perovskite solar cells,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000009,,repository,SRC0009,QREPO_SEEDS,Present status of and future opportunities for all-perovskite tandem photovoltaics,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000010,,repository,SRC0010,QREPO_SEEDS,Spin-related and non-spin-related effects of magnetic fields on water oxidation,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000011,,repository,SRC0011,QREPO_SEEDS,Stabilizing lithium-metal electrodes with polymer coatings,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
1.0,1.0,R000012,,repository,SRC0012,QREPO_SEEDS,Upscaling high-areal-capacity battery electrodes,,,,,pdf,repository_seed,repository_fulltext_available,exclude,exclude,X13_unrelated_review_or_style_exemplar,Repository file is a narrative/style exemplar outside the topical evidence corpus.,high,codex_fulltext_review,2026-08-31T14:36:16Z
