mechanism_id,asset_class,flexibility_mechanism,service_family,evidence_code,study_count,highest_evidence_setting,cell_label,interpretation
MECH001,BLDG,building prosumer load and on-site renewable allocation,frequency_response_regulation,,0,,,"Blank means not identified in this corpus, not impossible."
MECH001,BLDG,building prosumer load and on-site renewable allocation,demand_response_peak_management,,0,,,"Blank means not identified in this corpus, not impossible."
MECH001,BLDG,building prosumer load and on-site renewable allocation,renewable_energy_integration,M,1,E1,M n=1,Highest setting and unique-study count shown separately.
MECH001,BLDG,building prosumer load and on-site renewable allocation,local_energy_sharing_distribution_support,,0,,,"Blank means not identified in this corpus, not impossible."
MECH001,BLDG,building prosumer load and on-site renewable allocation,resilience_emergency_operation,,0,,,"Blank means not identified in this corpus, not impossible."
MECH001,BLDG,building prosumer load and on-site renewable allocation,other,,0,,,"Blank means not identified in this corpus, not impossible."
MECH002,DC,AI workload power modulation,frequency_response_regulation,,0,,,"Blank means not identified in this corpus, not impossible."
MECH002,DC,AI workload power modulation,demand_response_peak_management,D,1,E4,D n=1,Highest setting and unique-study count shown separately.
MECH002,DC,AI workload power modulation,renewable_energy_integration,,0,,,"Blank means not identified in this corpus, not impossible."
MECH002,DC,AI workload power modulation,local_energy_sharing_distribution_support,,0,,,"Blank means not identified in this corpus, not impossible."
MECH002,DC,AI workload power modulation,resilience_emergency_operation,,0,,,"Blank means not identified in this corpus, not impossible."
MECH002,DC,AI workload power modulation,other,,0,,,"Blank means not identified in this corpus, not impossible."
MECH003,EV,mobile battery through B2V and V2B,frequency_response_regulation,,0,,,"Blank means not identified in this corpus, not impossible."
MECH003,EV,mobile battery through B2V and V2B,demand_response_peak_management,,0,,,"Blank means not identified in this corpus, not impossible."
MECH003,EV,mobile battery through B2V and V2B,renewable_energy_integration,M,1,E1,M n=1,Highest setting and unique-study count shown separately.
MECH003,EV,mobile battery through B2V and V2B,local_energy_sharing_distribution_support,,0,,,"Blank means not identified in this corpus, not impossible."
MECH003,EV,mobile battery through B2V and V2B,resilience_emergency_operation,,0,,,"Blank means not identified in this corpus, not impossible."
MECH003,EV,mobile battery through B2V and V2B,other,,0,,,"Blank means not identified in this corpus, not impossible."
