search_record_id,title,publication_year,doi_normalized,stable_url,oa_url,query_ids,manual_review_reason
R000022,Building energy flexibility analysis: case studies and demonstration,2023,10.1016/b978-0-323-99588-7.00001-8,https://doi.org/10.1016/b978-0-323-99588-7.00001-8,,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_renewable_energy_integration|QFIELD_BLDG_resilience_emergency_operation|QPR_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000024,Smart grids and building energy flexibility,2023,10.1016/b978-0-323-99588-7.00010-9,https://doi.org/10.1016/b978-0-323-99588-7.00010-9,,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_renewable_energy_integration|QFIELD_BLDG_resilience_emergency_operation|QPAIR_BS_BLDG_demand_response_peak_management|QPAIR_DC_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QPR_BLDG_frequency_response_regulation|QPR_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_renewable_energy_integration|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_demand_response_peak_management|QSA_BLDG_frequency_response_regulation|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_renewable_energy_integration|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000026,Building energy flexibility: modeling and optimization,2023,10.1016/b978-0-323-99588-7.00002-x,https://doi.org/10.1016/b978-0-323-99588-7.00002-x,,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_local_energy_sharing_distribution_support|QFIELD_BLDG_resilience_emergency_operation|QPAIR_BS_BLDG_demand_response_peak_management|QPAIR_BS_BLDG_local_energy_sharing_distribution_support|QPAIR_DC_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QPR_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_demand_response_peak_management|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000027,Heat pumps for building energy flexibility,2023,10.1016/b978-0-323-99588-7.00005-5,https://doi.org/10.1016/b978-0-323-99588-7.00005-5,,QFIELD_BLDG_demand_response_peak_management|QPAIR_BS_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000028,Thermal energy storage for enhanced building energy flexibility,2023,10.1016/b978-0-323-99588-7.00004-3,https://doi.org/10.1016/b978-0-323-99588-7.00004-3,,QFIELD_BLDG_demand_response_peak_management|QFIELD_BLDG_local_energy_sharing_distribution_support|QPAIR_BS_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QPR_BLDG_local_energy_sharing_distribution_support|QPR_BLDG_resilience_emergency_operation|QSA_BLDG_demand_response_peak_management|QSA_BLDG_local_energy_sharing_distribution_support|QSA_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000029,Building Energy Flexibility and Demand Management,2023,10.1016/c2021-0-02510-4,https://doi.org/10.1016/c2021-0-02510-4,,QFIELD_BLDG_demand_response_peak_management|QPAIR_BS_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000030,"Building energy flexibility: definitions, sources, indicators, and quantification methods",2023,10.1016/b978-0-323-99588-7.00003-1,https://doi.org/10.1016/b978-0-323-99588-7.00003-1,,QFIELD_BLDG_demand_response_peak_management|QPAIR_BS_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000031,An Interoperable Building Energy Management System with IEEE1888 Open Protocol for Peak-Load Shaving,2019,10.1109/isgt-asia.2019.8881571,https://doi.org/10.1109/isgt-asia.2019.8881571,,QFIELD_BLDG_demand_response_peak_management|QPAIR_EV_BLDG_demand_response_peak_management|QPR_BLDG_demand_response_peak_management|QSA_BLDG_demand_response_peak_management,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000036,Occupant-driven end use load models for demand response and flexibility service participation of residential grid-interactive buildings,2024,10.1016/j.jobe.2024.110406,https://doi.org/10.1016/j.jobe.2024.110406,,QFIELD_BLDG_frequency_response_regulation|QFIELD_BLDG_resilience_emergency_operation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000037,An Improved Fast Demand Response Strategy of Building Hvac System With Low Cost Measurement Sensors for Smart Grid Applications,2020,10.46855/energy-proceedings-3450,https://doi.org/10.46855/energy-proceedings-3450,,QFIELD_BLDG_frequency_response_regulation|QPAIR_BS_BLDG_frequency_response_regulation|QPR_BLDG_frequency_response_regulation|QSA_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
R000038,A hierarchical optimal control strategy for continuous demand response of building HVAC systems to provide frequency regulation service to smart power grids,2021,10.1016/j.energy.2021.120741,https://doi.org/10.1016/j.energy.2021.120741,,QFIELD_BLDG_frequency_response_regulation|QPAIR_BS_BLDG_frequency_response_regulation|QPR_BLDG_frequency_response_regulation|QSA_BLDG_frequency_response_regulation,"Full-text eligibility, project duplication, multi-asset role and source locators require human verification."
