deduplication_id,duplicate_record_id,canonical_record_id,match_method,match_key,action,manual_verification_status,notes
D000001,R000982,R000977,normalized_doi,10.2172/1784302,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000002,R000983,R000979,normalized_doi,10.1016/j.jobe.2020.101692,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000003,R000984,R000980,normalized_doi,10.2172/1508212,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000004,R000985,R000976,normalized_doi,10.1016/j.scs.2021.103445,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000005,R000994,R000979,normalized_doi,10.1016/j.jobe.2020.101692,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000006,R000995,R000980,normalized_doi,10.2172/1508212,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000007,R000996,R000976,normalized_doi,10.1016/j.scs.2021.103445,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000008,R001001,R000978,normalized_doi,10.3390/app11020763,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000009,R001002,R000977,normalized_doi,10.2172/1784302,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000010,R001003,R000980,normalized_doi,10.2172/1508212,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000011,R001004,R000998,normalized_doi,10.1016/j.rser.2021.111530,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000012,R001005,R000978,normalized_doi,10.3390/app11020763,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000013,R001006,R000986,normalized_doi,10.2172/1577966,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000014,R001011,R000990,normalized_doi,10.1016/j.buildenv.2016.08.022,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000015,R001012,R000976,normalized_doi,10.1016/j.scs.2021.103445,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000016,R001013,R000977,normalized_doi,10.2172/1784302,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000017,R001014,R000980,normalized_doi,10.2172/1508212,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000018,R001017,R000978,normalized_doi,10.3390/app11020763,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000019,R001019,R000986,normalized_doi,10.2172/1577966,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000020,R001021,R001008,normalized_doi,10.3390/su14053009,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000021,R001032,R001022,normalized_doi,10.1109/jsac.2022.3156632,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000022,R001033,R001026,normalized_doi,10.1109/ojcoms.2021.3057679,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000023,R001043,R001041,normalized_doi,10.1109/tsg.2022.3177765,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000024,R001044,R000992,normalized_doi,10.1016/j.rser.2020.109840,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000025,R001060,R001009,normalized_doi,10.1017/s0003055418000151,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000026,R001062,R001022,normalized_doi,10.1109/jsac.2022.3156632,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000027,R001063,R001025,normalized_doi,10.1109/comst.2023.3249835,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000028,R001064,R001026,normalized_doi,10.1109/ojcoms.2021.3057679,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000029,R001065,R001028,normalized_doi,10.1007/s11432-020-2955-6,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000030,R001072,R001024,normalized_doi,10.1016/j.cpc.2021.108171,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000031,R001073,R001027,normalized_doi,10.32614/rj-2017-066,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000032,R001075,R001074,exact_normalized_title_plus_year,array programming with numpy|2020,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000033,R001076,R000974,normalized_doi,10.1016/j.rser.2016.11.167,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000034,R001083,R001080,normalized_doi,10.1007/s10586-022-03713-0,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000035,R001092,R001079,normalized_doi,10.3390/electronics11152462,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000036,R001093,R001045,normalized_doi,10.1109/tpel.2015.2464277,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000037,R001095,R001047,normalized_doi,10.1016/j.adapen.2024.100170,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
D000038,R001096,R001049,normalized_doi,10.1109/access.2021.3099941,retain_as_linked_duplicate_exclude_from_screening_count,rule_verified,No fuzzy-only auto-merge was performed.
