asset_class,service_family,evidence_setting,reporting_item,reported_study_count,applicable_study_denominator,reported_share_percent,applicability_status,notes
BLDG,renewable_energy_integration,E1,baseline_counterfactual,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,asset_size_and_boundary,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,activation_and_full_response_time,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,sustainable_duration_or_duty_cycle,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,rebound_or_recovery,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,uncertainty_or_forecast_error,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,failure_optout_or_communication_loss,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,primary_service_metric_and_result,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,digital_overhead,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,battery_degradation_where_relevant,0,0,,not_applicable_in_stratum,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,grid_location_or_network_constraint,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,economic_boundary_where_claimed,0,0,,not_applicable_in_stratum,Missing/unknown is not zero; denominator is unique applicable study_id.
BLDG,renewable_energy_integration,E1,carbon_factor_where_claimed,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,baseline_counterfactual,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,asset_size_and_boundary,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,activation_and_full_response_time,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,sustainable_duration_or_duty_cycle,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,rebound_or_recovery,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,uncertainty_or_forecast_error,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,failure_optout_or_communication_loss,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,primary_service_metric_and_result,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,digital_overhead,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,battery_degradation_where_relevant,0,0,,not_applicable_in_stratum,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,grid_location_or_network_constraint,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,economic_boundary_where_claimed,0,0,,not_applicable_in_stratum,Missing/unknown is not zero; denominator is unique applicable study_id.
DC,demand_response_peak_management,E4,carbon_factor_where_claimed,0,0,,not_applicable_in_stratum,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,baseline_counterfactual,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,asset_size_and_boundary,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,activation_and_full_response_time,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,sustainable_duration_or_duty_cycle,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,rebound_or_recovery,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,uncertainty_or_forecast_error,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,failure_optout_or_communication_loss,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,primary_service_metric_and_result,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,digital_overhead,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,battery_degradation_where_relevant,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,grid_location_or_network_constraint,0,1,0.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,economic_boundary_where_claimed,0,0,,not_applicable_in_stratum,Missing/unknown is not zero; denominator is unique applicable study_id.
EV,renewable_energy_integration,E1,carbon_factor_where_claimed,1,1,100.0,applicable,Missing/unknown is not zero; denominator is unique applicable study_id.
