dimension,value,study_count,paper_count,scenario_count,notes
asset_class,DC,1,1,1,Within the included corpus; counts are not performance or maturity scores.
asset_class,BS,0,0,0,Within the included corpus; counts are not performance or maturity scores.
asset_class,EV,1,1,1,Within the included corpus; counts are not performance or maturity scores.
asset_class,BLDG,1,1,1,Within the included corpus; counts are not performance or maturity scores.
asset_combination,BLDG+EV,1,1,1,Within the included corpus; counts are not performance or maturity scores.
asset_combination,DC,1,1,1,Within the included corpus; counts are not performance or maturity scores.
participating_focal_asset_classes,S1,1,1,1,Within the included corpus; counts are not performance or maturity scores.
participating_focal_asset_classes,S2,1,1,1,Within the included corpus; counts are not performance or maturity scores.
participating_focal_asset_classes,S3+,0,0,0,Within the included corpus; counts are not performance or maturity scores.
grid_service,frequency_response_regulation,0,0,0,Within the included corpus; counts are not performance or maturity scores.
grid_service,demand_response_peak_management,1,1,1,Within the included corpus; counts are not performance or maturity scores.
grid_service,renewable_energy_integration,1,1,1,Within the included corpus; counts are not performance or maturity scores.
grid_service,local_energy_sharing_distribution_support,0,0,0,Within the included corpus; counts are not performance or maturity scores.
grid_service,resilience_emergency_operation,0,0,0,Within the included corpus; counts are not performance or maturity scores.
grid_service,other,0,0,0,Within the included corpus; counts are not performance or maturity scores.
evidence_setting,E0,0,0,0,Within the included corpus; counts are not performance or maturity scores.
evidence_setting,E1,1,1,1,Within the included corpus; counts are not performance or maturity scores.
evidence_setting,E2,0,0,0,Within the included corpus; counts are not performance or maturity scores.
evidence_setting,E3,0,0,0,Within the included corpus; counts are not performance or maturity scores.
evidence_setting,E4,1,1,1,Within the included corpus; counts are not performance or maturity scores.
evidence_setting,E5,0,0,0,Within the included corpus; counts are not performance or maturity scores.
claim_level,L1_nominal_resource,0,0,0,Within the included corpus; counts are not performance or maturity scores.
claim_level,L2_available_flexibility,0,0,0,Within the included corpus; counts are not performance or maturity scores.
claim_level,L3_delivered_service,2,2,2,Within the included corpus; counts are not performance or maturity scores.
claim_level,L4_net_system_outcome,0,0,0,Within the included corpus; counts are not performance or maturity scores.
claim_level,L5_deployable_value,0,0,0,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,centralized,1,1,1,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,hierarchical,0,0,0,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,distributed,0,0,0,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,market_or_aggregator,0,0,0,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,hybrid,0,0,0,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,local_only,0,0,0,Within the included corpus; counts are not performance or maturity scores.
coordination_topology,unclear,1,1,1,Within the included corpus; counts are not performance or maturity scores.
matched_coordination_counterfactual,yes,1,1,1,Within the included corpus; counts are not performance or maturity scores.
matched_coordination_counterfactual,no,1,1,1,Within the included corpus; counts are not performance or maturity scores.
matched_coordination_counterfactual,unknown,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,peer_reviewed_primary,2,2,2,Within the included corpus; counts are not performance or maturity scores.
publication_type,peer_reviewed_review,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,conference,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,preprint,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,official_standard,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,official_agency_or_market,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,institutional_project_report,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,commercial_self_report,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_type,other,0,0,0,Within the included corpus; counts are not performance or maturity scores.
publication_year,2024,1,1,1,Within the included corpus; counts are not performance or maturity scores.
publication_year,2026,1,1,1,Within the included corpus; counts are not performance or maturity scores.
region_or_jurisdiction,Arizona|United States,1,1,1,Within the included corpus; counts are not performance or maturity scores.
region_or_jurisdiction,China|multi-region model,1,1,1,Within the included corpus; counts are not performance or maturity scores.
primary_service_safeguard_reporting,explicit_or_modelled,2,2,2,Within the included corpus; counts are not performance or maturity scores.
primary_service_safeguard_reporting,only_unreported_not_considered_or_not_applicable,0,0,0,Within the included corpus; counts are not performance or maturity scores.
preprint_grey_status,peer_reviewed,2,2,2,Within the included corpus; counts are not performance or maturity scores.
preprint_grey_status,preprint,0,0,0,Within the included corpus; counts are not performance or maturity scores.
preprint_grey_status,grey_or_commercial,0,0,0,Within the included corpus; counts are not performance or maturity scores.
