source_file_id,repository_path,extension,byte_size,sha256,role,extraction_status,notes
SRC0001,Data_centers_6G_中文逐句翻译与通俗解读.docx,.docx,16823061,7c96968ef5d9d4ab57fd9a5e9176340126ecd7cc0fd349b7f04fe42703411929,reading_aid,available_local,Secondary reading aid; never cited instead of the original source.
SRC0002,nature energy综述例子集合/Atomistic origins of anharmonic lattice dynamics and thermal expansion in perovskite photovoltaics.pdf,.pdf,2721931,e33a810b216b487cb1965f55fe8acb0713d834aa897e47c75a2412e6d9c6688c,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0003,nature energy综述例子集合/Challenges and trends in automotive battery recycling.pdf,.pdf,1661816,9b7b0d3b376982857130ea11b6c3da61a53a39bbffce9edbabe744d25988e872,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0004,"nature energy综述例子集合/Challenges, technological pathways and trade-offs of perovskite solar modules for long-term operation.pdf",.pdf,1714100,06d27019f10322b853326c6474dc011bfe2de9999b57fdc0fb45e21c099188d1,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0005,nature energy综述例子集合/Emerging opportunities for high-temperature solid-state and gas-cycle heat pumps.pdf,.pdf,1953723,e168f7d11883980eb903c5adde2cddd10835389e71ca80cff65c27f47acb9e4b,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0006,nature energy综述例子集合/Emerging roles of cations in electrocatalytic reduction of CO₂ and CO.pdf,.pdf,2747196,665b9f5116f0a985424b6142d44769b193b21b09e6d66991121a5a933b63a816,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0007,nature energy综述例子集合/Formation pathway of high-efficiency kesterite solar cells fabricated through molecular ink chemistry.pdf,.pdf,2431038,d8b2428d1feed6f65b72d4d6d67d8734424c517c8078aab4e0484e855f00cddf,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0008,nature energy综述例子集合/Mitigating lead toxicity towards safer commercialization of perovskite solar cells.pdf,.pdf,2549716,47b7f076c2feda758ecd8b965435cf979234b030f542e1b568b0d4c1be45f167,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0009,nature energy综述例子集合/Present status of and future opportunities for all-perovskite tandem photovoltaics.pdf,.pdf,2762213,8ca5385095c6090940c6340b38981850addaf2517f24e84c7a6a1df6e79c99b3,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0010,nature energy综述例子集合/Spin-related and non-spin-related effects of magnetic fields on water oxidation.pdf,.pdf,2149260,3eab38b6e43e8144387bfd1da243980fd3ec3f41f04e11e72d082954b497f654,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0011,nature energy综述例子集合/Stabilizing lithium-metal electrodes with polymer coatings.pdf,.pdf,1835472,66a20b9238055da28865bebb38d3a0df1c18efabe685ed44dd8b7adaac8e4139,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0012,nature energy综述例子集合/Upscaling high-areal-capacity battery electrodes.pdf,.pdf,1887428,f892d260ae1cc3f7b14313bb3ebdb0ca35ac9bec08f942dd3daf45a5497af174,review_style_exemplar,available_local,Narrative/style exemplar; excluded from topical evidence unless independently eligible.
SRC0013,周跃宽本人论文/2024 An electricity-driven mobility circular economy with lifecycle carbon footprints for climate-adaptive carbon neutrality transformation.pdf,.pdf,22750172,007d6e92a4fd65ea23ad3b929ad7cc441c5a3d324f3b1a8c78f08054f2e0f5cf,candidate_study,available_local,Author-corpus candidate; repository presence does not imply inclusion.
